# started with learning_rate = 0.00150, r1_gamma = 7, num_fp16_res = 4
# metrics were turned off till 3030 kimg

# learning_rate = 0.00060, r1_gamma = 7
network-snapshot-006981       time 16m 07s      fid50k_full 2.7329
network-snapshot-007022       time 16m 06s      fid50k_full 2.6959
network-snapshot-007063       time 16m 07s      fid50k_full 2.8338
network-snapshot-007104       time 16m 08s      fid50k_full 2.8178
network-snapshot-007145       time 16m 22s      fid50k_full 2.7477
network-snapshot-007186       time 16m 14s      fid50k_full 2.7398
network-snapshot-007227       time 16m 10s      fid50k_full 2.7715
network-snapshot-007268       time 16m 11s      fid50k_full 2.7751
network-snapshot-007309       time 16m 09s      fid50k_full 2.8455
network-snapshot-007350       time 16m 25s      fid50k_full 2.7958
network-snapshot-007391       time 16m 08s      fid50k_full 2.6950
network-snapshot-007432       time 16m 08s      fid50k_full 2.7426
network-snapshot-007473       time 16m 08s      fid50k_full 2.7228
network-snapshot-007514       time 16m 09s      fid50k_full 2.6513
network-snapshot-007555       time 16m 09s      fid50k_full 2.7212
network-snapshot-007596       time 16m 37s      fid50k_full 2.6594
network-snapshot-007636       time 16m 09s      fid50k_full 2.7405
network-snapshot-007677       time 16m 14s      fid50k_full 2.7692
network-snapshot-007718       time 16m 13s      fid50k_full 2.5957
network-snapshot-007759       time 16m 12s      fid50k_full 2.7217
network-snapshot-007800       time 16m 13s      fid50k_full 2.7886
network-snapshot-007841       time 16m 08s      fid50k_full 2.7481
network-snapshot-007882       time 16m 09s      fid50k_full 2.8353
network-snapshot-007923       time 16m 38s      fid50k_full 2.6271
network-snapshot-007964       time 16m 10s      fid50k_full 2.7702
network-snapshot-008005       time 16m 12s      fid50k_full 2.6341
network-snapshot-008046       time 16m 13s      fid50k_full 2.6445
network-snapshot-008087       time 16m 15s      fid50k_full 2.7420
network-snapshot-008128       time 16m 14s      fid50k_full 2.7663
network-snapshot-008169       time 16m 15s      fid50k_full 2.6198
network-snapshot-008210       time 16m 13s      fid50k_full 2.5500
network-snapshot-008251       time 16m 14s      fid50k_full 2.6494
network-snapshot-008292       time 16m 48s      fid50k_full 2.5275
network-snapshot-008333       time 16m 16s      fid50k_full 2.6312
network-snapshot-008374       time 16m 17s      fid50k_full 2.8229
network-snapshot-008415       time 16m 18s      fid50k_full 2.7550
network-snapshot-008456       time 16m 17s      fid50k_full 2.6859
network-snapshot-008497       time 16m 17s      fid50k_full 2.7588
network-snapshot-008538       time 16m 18s      fid50k_full 2.7114
network-snapshot-008579       time 16m 18s      fid50k_full 2.7606
network-snapshot-008620       time 16m 21s      fid50k_full 2.7970
network-snapshot-008660       time 16m 23s      fid50k_full 2.7034
network-snapshot-008701       time 16m 21s      fid50k_full 2.6647
network-snapshot-008742       time 16m 25s      fid50k_full 2.5997
network-snapshot-008783       time 16m 23s      fid50k_full 2.6418
network-snapshot-008824       time 17m 05s      fid50k_full 2.7259
network-snapshot-008865       time 16m 24s      fid50k_full 2.5048
network-snapshot-008906       time 16m 28s      fid50k_full 2.5528
network-snapshot-008947       time 16m 11s      fid50k_full 2.6346
network-snapshot-008988       time 16m 10s      fid50k_full 2.5721
network-snapshot-009029       time 16m 13s      fid50k_full 2.6260
network-snapshot-009069       time 16m 13s      fid50k_full 2.5983
network-snapshot-009110       time 16m 08s      fid50k_full 2.6353
network-snapshot-009151       time 16m 09s      fid50k_full 2.7209
network-snapshot-009192       time 16m 15s      fid50k_full 2.5367
network-snapshot-009233       time 16m 09s      fid50k_full 2.6300
network-snapshot-009274       time 16m 18s      fid50k_full 2.4832
network-snapshot-009315       time 16m 08s      fid50k_full 2.5013
network-snapshot-009356       time 16m 09s      fid50k_full 2.5341
network-snapshot-009397       time 16m 18s      fid50k_full 2.6029
network-snapshot-009438       time 16m 08s      fid50k_full 2.5240
network-snapshot-009479       time 16m 09s      fid50k_full 2.4488
network-snapshot-009520       time 16m 09s      fid50k_full 2.5028
network-snapshot-009561       time 16m 08s      fid50k_full 2.5308
network-snapshot-009602       time 16m 22s      fid50k_full 2.5183
network-snapshot-009643       time 16m 09s      fid50k_full 2.5498
network-snapshot-009684       time 16m 07s      fid50k_full 2.6290
network-snapshot-009725       time 16m 08s      fid50k_full 2.4917
network-snapshot-009766       time 16m 08s      fid50k_full 2.5643
network-snapshot-009807       time 16m 25s      fid50k_full 2.5711
network-snapshot-009848       time 16m 08s      fid50k_full 2.5505
network-snapshot-009889       time 16m 09s      fid50k_full 2.5352
network-snapshot-009930       time 16m 09s      fid50k_full 2.4938
network-snapshot-009971       time 16m 09s      fid50k_full 2.4419
network-snapshot-010012       time 16m 09s      fid50k_full 2.5713
network-snapshot-010053       time 16m 30s      fid50k_full 2.4723
network-snapshot-010093       time 16m 09s      fid50k_full 2.5139
network-snapshot-010134       time 16m 09s      fid50k_full 2.5418
network-snapshot-010175       time 16m 08s      fid50k_full 2.4857
network-snapshot-010216       time 16m 09s      fid50k_full 2.5574
network-snapshot-010257       time 16m 09s      fid50k_full 2.5564
network-snapshot-010298       time 16m 08s      fid50k_full 2.5994
network-snapshot-010339       time 16m 08s      fid50k_full 2.5504
network-snapshot-010380       time 16m 35s      fid50k_full 2.4279
network-snapshot-010421       time 16m 09s      fid50k_full 2.6073
network-snapshot-010462       time 16m 18s      fid50k_full 2.4827
network-snapshot-010503       time 16m 15s      fid50k_full 2.5987
network-snapshot-010544       time 16m 15s      fid50k_full 2.5105
network-snapshot-010585       time 16m 10s      fid50k_full 2.4725
network-snapshot-010626       time 16m 09s      fid50k_full 2.4423
network-snapshot-010667       time 16m 09s      fid50k_full 2.4040
network-snapshot-010708       time 16m 09s      fid50k_full 2.4188
network-snapshot-010749       time 16m 42s      fid50k_full 2.4838
network-snapshot-010790       time 16m 08s      fid50k_full 2.4067
network-snapshot-010831       time 16m 09s      fid50k_full 2.5226
network-snapshot-010872       time 16m 16s      fid50k_full 2.4835
network-snapshot-010913       time 16m 19s      fid50k_full 2.3734
network-snapshot-010954       time 16m 16s      fid50k_full 2.5090
network-snapshot-010995       time 16m 16s      fid50k_full 2.3984
